order	family	Genus	species	mass(g)	gestation(mo)	newborn(g)	weaning(mo)	wean mass(g)	AFR(mo)	max. life(mo)	litter size	litters/year	refs
Artiodactyla	Bovidae	Capra	caucasica	55000.00	5.17	3850.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,2,17"
Artiodactyla	Bovidae	Capra	falconeri	41000.00	5.36	-999.00	5.50	-999.00	24.50	144	2.00	-999.00	"1,2,17"
Artiodactyla	Bovidae	Capra	ibex	71500.00	5.60	2791.43	7.50	-999.00	29.24	-999	1.25	0.75	"1,2,9,17,23,29"
Artiodactyla	Bovidae	Capra	cylindricornis	50000.00	5.29	3787.50	6.00	-999.00	33.50	264	1.10	1.00	"1,2,11"
Artiodactyla	Bovidae	Capra	hircus	60000.00	5.22	2200.00	5.00	-999.00	16.00	249	1.61	1.00	"1,2,9,15"
Artiodactyla	Bovidae	Cephalophus	niger	18100.00	4.20	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	"1,2,16"
Artiodactyla	Bovidae	Cephalophus	nigrifrons	13900.00	-999.00	-999.00	-999.00	-999.00	-999.00	236	-999.00	-999.00	"2,16"
Artiodactyla	Bovidae	Cephalophus	natalensis	10000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Cephalophus	leucogaster	12700.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Cephalophus	ogilbyi	20000.00	4.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Cephalophus	zebra	-999.00	7.47	1707.50	-999.00	-999.00	-999.00	-999	1.00	-999.00	1
Artiodactyla	Bovidae	Cephalophus	rufilatus	12500.00	7.82	965.00	-999.00	-999.00	13.78	-999	1.00	-999.00	"1,2,16,23"
Artiodactyla	Bovidae	Cephalophus	dorsalis	11600.00	7.75	1610.00	-999.00	-999.00	19.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Cephalophus	monticola	6250.00	6.43	800.00	-999.00	-999.00	16.00	144	1.00	-999.00	"1,2,13"
Artiodactyla	Bovidae	Cephalophus	silvicultor	62500.00	5.43	2400.00	1.25	20512.50	-999.00	-999	1.00	1.00	"1,2,11,29"
Artiodactyla	Bovidae	Cephalophus	maxwellii	9000.00	4.00	832.00	2.00	-999.00	32.00	120	1.00	1.00	"1,2,11"
Artiodactyla	Bovidae	Connochaetes	gnou	132250.00	8.50	11000.00	7.50	-999.00	25.10	235	1.01	-999.00	"1,11,27"
Artiodactyla	Bovidae	Connochaetes	taurinus	164500.00	8.32	17716.67	8.00	-999.00	20.40	-999	1.00	1.00	"1,9,23,25,29"
Artiodactyla	Bovidae	Damaliscus	hunteri	159000.00	9.30	8350.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Damaliscus	pygargus	84500.00	8.20	6792.00	5.00	-999.00	23.26	260	1.25	-999.00	"1,2,9,23"
Artiodactyla	Bovidae	Damaliscus	lunatus	128000.00	7.81	11100.00	-999.00	-999.00	21.00	-999	1.00	0.57	"1,8,13"
Artiodactyla	Bovidae	Gazella	soemmerringii	40000.00	6.50	-999.00	-999.00	-999.00	19.90	-999	-999.00	-999.00	"1,18,23"
Artiodactyla	Bovidae	Gazella	rufifrons	27000.00	5.75	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Gazella	dama	73000.00	6.84	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Gazella	leptoceros	23600.00	5.42	4640.00	-999.00	-999.00	5.17	-999	1.00	-999.00	"1,18,23"
Artiodactyla	Bovidae	Gazella	granti	47636.36	6.45	5602.50	-999.00	-999.00	8.25	-999	1.00	-999.00	"1,16,27,29"
Artiodactyla	Bovidae	Gazella	spekei	20000.00	6.48	1253.33	-999.00	-999.00	16.80	-999	1.00	-999.00	"1,18"
Artiodactyla	Bovidae	Gazella	cuvieri	17500.00	5.61	-999.00	-999.00	-999.00	11.46	-999	1.46	-999.00	"1,18"
Artiodactyla	Bovidae	Gazella	dorcas	16985.00	4.74	1500.63	2.75	7000.00	22.27	-999	1.18	1.00	"1,11,23,29"
Artiodactyla	Bovidae	Gazella	subgutturosa	25500.00	5.37	2426.67	3.50	13500.00	18.50	188	1.44	1.00	"1,11"
Artiodactyla	Bovidae	Gazella	thomsonii	16300.00	5.37	2553.75	3.35	-999.00	12.18	-999	1.00	1.50	"1,2,16,23,29"
Artiodactyla	Bovidae	Gazella	gazella	20750.00	6.00	-999.00	3.00	-999.00	13.20	219	1.60	1.50	"1,2,11"
Artiodactyla	Bovidae	Hemitragus	hylocrius	-999.00	6.17	-999.00	5.00	-999.00	20.50	-999	1.00	-999.00	"1,2,13"
Artiodactyla	Bovidae	Hemitragus	jemlahicus	35200.00	6.00	2000.00	4.97	-999.00	24.00	261	1.03	1.00	"1,2,8,17"
Artiodactyla	Bovidae	Hippotragus	equinus	242000.00	9.32	15166.67	6.00	-999.00	23.50	-999	1.00	-999.00	"1,2,16,17,23"
Artiodactyla	Bovidae	Hippotragus	niger	200500.00	8.87	15447.14	7.00	-999.00	24.51	267	1.00	1.00	"1,2,16,23,29"
Artiodactyla	Bovidae	Kobus	megaceros	17500.00	-999.00	-999.00	-999.00	-999.00	19.67	-999	-999.00	-999.00	23
Artiodactyla	Bovidae	Kobus	vardonii	63950.00	8.50	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Kobus	leche	81733.33	7.57	5100.00	4.50	-999.00	23.31	180	1.00	-999.00	"1,2,13,16,17,23,25"
Artiodactyla	Bovidae	Kobus	ellipsiprymnus	175333.33	8.91	9000.00	7.39	-999.00	25.34	222	1.10	1.10	"1,2,8,9,23,25"
Artiodactyla	Bovidae	Kobus	kob	58600.00	8.38	4937.50	6.39	31600.00	11.60	263	1.00	1.30	"1,2,8,23"
Artiodactyla	Bovidae	Litocranius	walleri	41333.33	6.76	-999.00	-999.00	-999.00	11.83	156	1.00	-999.00	"1,2,23"
Artiodactyla	Bovidae	Madoqua	saltiana	3250.00	-999.00	690.00	1.50	-999.00	10.00	-999	1.00	-999.00	"1,18"
Artiodactyla	Bovidae	Madoqua	guentheri	4550.00	5.84	681.67	2.75	2825.50	-999.00	-999	1.00	2.00	11
Artiodactyla	Bovidae	Madoqua	kirkii	4876.67	5.77	654.00	2.35	1780.00	8.77	171	1.00	2.00	"1,2,9,11,23,27,29"
Artiodactyla	Bovidae	Naemorhedus	crispus	30000.00	7.15	3510.50	-999.00	-999.00	42.00	223	1.00	-999.00	"1,2,16"
Artiodactyla	Bovidae	Naemorhedus	sumatraensis	87500.00	7.50	-999.00	-999.00	-999.00	-999.00	-999	1.00	1.00	"16,17"
Artiodactyla	Bovidae	Naemorhedus	goral	27666.67	7.69	2000.00	-999.00	-999.00	31.20	-999	1.00	1.00	"1,11,17,23"
Artiodactyla	Bovidae	Neotragus	batesi	2500.00	6.00	500.00	-999.00	-999.00	9.33	-999	-999.00	-999.00	"1,2"
Artiodactyla	Bovidae	Neotragus	moschatus	7166.67	6.00	-999.00	-999.00	-999.00	6.05	162	1.00	-999.00	"1,2,23"
Artiodactyla	Bovidae	Oreamnos	americanus	82350.00	5.78	3176.67	2.67	-999.00	29.99	230	1.32	1.00	"1,2,6,11,23,26,29"
Artiodactyla	Bovidae	Oreotragus	oreotragus	13000.00	6.79	1065.00	4.50	-999.00	12.00	214	1.00	-999.00	"1,2"
Artiodactyla	Bovidae	Oryx	dammah	177500.00	8.22	10316.67	-999.00	-999.00	21.30	-999	1.00	-999.00	"1,2,16,23,29"
Artiodactyla	Bovidae	Oryx	leucoryx	121350.00	8.00	-999.00	4.50	-999.00	26.11	-999	1.00	1.00	"1,2,16,23"
Artiodactyla	Bovidae	Oryx	gazella	195000.00	9.01	12015.00	-999.00	-999.00	25.02	240	1.00	1.33	"1,2,13,16,27"
Artiodactyla	Bovidae	Ourebia	ourebi	17500.00	6.95	2235.00	4.50	-999.00	12.62	190	1.00	1.53	"1,2,23"
Artiodactyla	Bovidae	Ovibos	moschatus	258000.00	8.48	11077.40	6.21	-999.00	37.33	288	1.01	0.75	"1,2,9,17,23,29"
Artiodactyla	Bovidae	Ovis	nivicola	50500.00	-999.00	-999.00	-999.00	-999.00	24.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Ovis	vignei	60000.00	6.00	-999.00	-999.00	-999.00	-999.00	-999	1.50	-999.00	"1,2"
Artiodactyla	Bovidae	Ovis	dalli	57666.67	5.62	3500.00	4.33	-999.00	26.57	-999	1.18	0.75	"1,8,9,26,27"
Artiodactyla	Bovidae	Ovis	canadensis	68166.67	5.99	4266.67	4.86	28666.67	23.07	240	1.06	1.00	"1,2,9,11,17,23,26,29"
Artiodactyla	Bovidae	Ovis	ammon	180000.00	5.61	2375.00	4.50	-999.00	11.67	-999	1.20	1.00	"1,2,17"
Artiodactyla	Bovidae	Ovis	aries	50000.00	5.02	2277.08	6.00	17500.00	18.23	-999	1.35	1.00	"1,9,29"
Artiodactyla	Bovidae	Pantholops	hodgsonii	27500.00	7.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,2,17"
Artiodactyla	Bovidae	Pelea	capreolus	25000.00	8.70	-999.00	-999.00	-999.00	-999.00	148	1.00	-999.00	"1,2"
Artiodactyla	Bovidae	Procapra	gutturosa	24000.00	6.43	2900.00	-999.00	-999.00	17.50	84	1.33	-999.00	"1,2,11"
Artiodactyla	Bovidae	Pseudois	nayaur	46666.67	5.16	-999.00	6.00	-999.00	18.61	180	1.50	-999.00	"1,11,13,23"
Artiodactyla	Bovidae	Raphicerus	campestris	11333.33	6.53	936.00	3.00	-999.00	7.50	-999	1.00	-999.00	"1,16"
Artiodactyla	Bovidae	Redunca	arundinum	48850.00	7.32	4500.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,16,25"
Artiodactyla	Bovidae	Redunca	redunca	40000.00	7.50	-999.00	-999.00	-999.00	120.00	216	1.00	-999.00	"1,2,13,16"
Artiodactyla	Bovidae	Redunca	fulvorufula	30000.00	7.57	2600.00	-999.00	-999.00	12.96	144	1.00	1.09	"1,2,9,13,23,27"
Artiodactyla	Bovidae	Rupicapra	rupicapra	26100.00	5.83	2652.86	3.70	-999.00	30.55	-999	1.00	0.94	"1,8,17,29"
Artiodactyla	Bovidae	Saiga	tatarica	38250.00	4.94	3365.33	2.92	14500.00	9.15	144	1.65	1.00	"1,2,9,11,17,23,29"
Artiodactyla	Bovidae	Sigmoceros	lichtensteinii	153000.00	7.76	15000.00	-999.00	-999.00	16.58	-999	1.00	-999.00	"1,2"
Artiodactyla	Bovidae	Sylvicapra	grimmia	19000.00	5.08	1202.86	-999.00	-999.00	9.90	172	1.01	1.38	"1,2,9"
Artiodactyla	Bovidae	Syncerus	caffer	504666.67	11.03	42862.50	9.18	166000.00	47.92	354	1.08	0.40	"1,2,8,9,23,29"
Artiodactyla	Bovidae	Taurotragus	derbianus	680000.00	8.67	-999.00	-999.00	-999.00	36.40	-999	1.00	-999.00	"16,17"
Artiodactyla	Bovidae	Taurotragus	oryx	432500.00	8.64	28325.00	6.00	-999.00	26.99	282	1.00	-999.00	"1,2,9,11,17,23,25,29"
Artiodactyla	Bovidae	Tetracerus	quadricornis	19000.00	7.34	1033.00	-999.00	-999.00	13.20	130	1.57	-999.00	"1,2,17"
Artiodactyla	Bovidae	Tragelaphus	buxtoni	218000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"2,13,17"
Artiodactyla	Bovidae	Tragelaphus	eurycerus	186250.00	9.57	19240.00	-999.00	-999.00	27.94	233	1.00	0.73	"1,2,11,23"
Artiodactyla	Bovidae	Tragelaphus	spekii	87500.00	8.13	4000.00	-999.00	-999.00	13.17	258	1.00	1.00	"1,2,17,23"
Artiodactyla	Bovidae	Tragelaphus	strepsiceros	190000.00	7.41	16150.00	6.00	-999.00	18.40	267	1.00	1.00	"1,2,23,29"
Artiodactyla	Bovidae	Tragelaphus	angasii	100666.67	7.37	5232.50	7.00	-999.00	14.85	192	1.00	1.21	"1,2,13,23"
Artiodactyla	Bovidae	Tragelaphus	imberbis	64500.00	8.01	5760.00	-999.00	-999.00	25.89	-999	1.00	1.33	"1,2,9,23"
Artiodactyla	Bovidae	Tragelaphus	scriptus	36250.00	6.17	3800.00	-999.00	-999.00	16.32	144	1.00	1.50	"1,2,9,13,23,29"
Artiodactyla	Camelidae	Camelus	bactrianus	-999.00	13.18	35000.00	10.50	-999.00	42.00	-999	1.00	0.50	"1,29"
Artiodactyla	Camelidae	Camelus	dromedarius	434000.00	12.64	35808.46	14.63	253484.00	46.30	480	1.00	0.65	"1,11,15,23,29"
Artiodactyla	Camelidae	Lama	glama	142500.00	11.01	12000.00	5.00	-999.00	-999.00	-999	1.00	-999.00	"1,2"
Artiodactyla	Camelidae	Lama	pacos	60000.00	10.79	7584.00	7.00	-999.00	16.00	-999	1.00	-999.00	"1,2"
Artiodactyla	Camelidae	Lama	guanicoe	110000.00	11.25	11666.67	11.33	-999.00	18.00	340	1.00	0.50	"1,2,4,17"
Artiodactyla	Camelidae	Vicugna	vicugna	50000.00	11.55	5841.67	7.00	-999.00	22.75	344	1.00	0.67	"1,2,4,17,23,27,29"
Artiodactyla	Cervidae	Alces	alces	351000.00	7.95	13018.18	3.80	94000.00	23.38	324	1.29	0.77	"1,8,9,2,23,26"
Artiodactyla	Cervidae	Axis	porcinus	33500.00	7.45	2365.00	6.00	-999.00	10.00	240	1.01	-999.00	"1,2,13,16"
Artiodactyla	Cervidae	Axis	axis	55000.00	7.72	3378.50	4.00	-999.00	12.64	249	1.03	-999.00	"1,2,9,17,29"
Artiodactyla	Cervidae	Blastocerus	dichotomus	102500.00	8.89	4200.00	-999.00	-999.00	-999.00	-999	1.00	1.00	"1,11,13,17"
Artiodactyla	Cervidae	Capreolus	capreolus	21666.67	6.54	1214.33	3.08	8692.50	15.41	180	1.78	-999.00	"1,8,9,11,13,23"
Artiodactyla	Cervidae	Capreolus	pygargus	39450.00	9.67	1750.00	4.50	28750.00	-999.00	-999	2.00	1.00	11
Artiodactyla	Cervidae	Cervus	duvaucelii	143000.00	8.21	-999.00	-999.00	-999.00	36.00	276	1.00	-999.00	"1,2,9,17"
Artiodactyla	Cervidae	Cervus	elaphus	120333.33	8.03	8814.09	5.37	46900.00	28.36	324	1.07	0.91	"1,2,8,9,23"
Artiodactyla	Cervidae	Cervus	albirostris	125000.00	8.33	-999.00	-999.00	-999.00	24.00	228	1.00	1.00	"1,2"
Artiodactyla	Cervidae	Cervus	timorensis	53000.00	8.49	-999.00	7.50	-999.00	17.71	253	1.00	1.00	"1,2"
Artiodactyla	Cervidae	Cervus	unicolor	171000.00	8.20	9890.00	7.00	-999.00	23.23	317	1.00	1.00	"1,2,9,13,29"
Artiodactyla	Cervidae	Cervus	eldii	73000.00	7.37	5008.00	7.88	-999.00	18.78	235	1.01	1.00	"1,2,9,17"
Artiodactyla	Cervidae	Cervus	nippon	96500.00	7.59	3734.00	5.67	28590.00	22.12	305	1.02	1.00	"1,2,9,11,23"
Artiodactyla	Cervidae	Dama	dama	54500.00	7.75	4511.17	6.01	22570.00	18.55	300	1.14	1.00	"1,2,9,11,13,23,29"
Artiodactyla	Cervidae	Elaphodus	cephalophus	33500.00	6.50	-999.00	-999.00	-999.00	18.00	144	1.00	-999.00	"1,2"
Artiodactyla	Cervidae	Elaphurus	davidianus	149000.00	9.41	11412.50	5.50	-999.00	27.00	279	1.11	1.00	"1,2,9,29"
Artiodactyla	Cervidae	Hippocamelus	bisulcus	70000.00	6.50	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	4
Artiodactyla	Cervidae	Hippocamelus	antisensis	68600.00	8.00	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,4,13,17,16"
Artiodactyla	Cervidae	Hydropotes	inermis	14000.00	6.25	1028.33	-999.00	-999.00	7.00	167	3.32	-999.00	"1,2,9"
Artiodactyla	Cervidae	Mazama	rufina	8200.00	7.25	-999.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,3,4"
Artiodactyla	Cervidae	Mazama	gouazoupira	16650.00	7.42	792.33	-999.00	-999.00	20.50	-999	1.00	-999.00	"1,4,9,29"
Artiodactyla	Cervidae	Mazama	americana	23000.00	7.43	542.50	6.00	-999.00	12.00	166	1.00	1.00	"2,4,9,13,29"
Artiodactyla	Cervidae	Muntiacus	muntjak	14000.00	6.12	1310.80	2.00	-999.00	8.67	204	1.33	-999.00	"1,2,9,13"
Artiodactyla	Cervidae	Muntiacus	reevesi	12000.00	6.86	1096.67	-999.00	-999.00	6.00	236	1.00	1.50	"1,2,9,29"
Artiodactyla	Cervidae	Odocoileus	hemionus	55766.67	6.85	2952.67	2.48	19516.67	14.24	264	1.62	0.97	"1,2,7,8,9,29"
Artiodactyla	Cervidae	Odocoileus	virginianus	59500.00	6.84	3154.67	4.29	33631.33	9.09	276	1.71	1.00	"1,2,6,9,11,17,23"
Artiodactyla	Cervidae	Ozotoceros	bezoarticus	35000.00	7.25	2150.00	5.50	-999.00	12.00	253	1.00	1.00	"1,2,4,11,13"
Artiodactyla	Cervidae	Pudu	mephistophiles	9750.00	-999.00	400.00	-999.00	-999.00	-999.00	-999	1.00	-999.00	"1,18"
Artiodactyla	Cervidae	Pudu	puda	8250.00	6.76	695.00	2.00	-999.00	5.73	252	1.03	-999.00	"1,2,3,9,23,29"
Artiodactyla	Cervidae	Rangifer	tarandus	113200.00	7.24	5773.67	2.84	26900.00	23.93	242	1.20	0.91	"1,2,8,9,23,26,29"
Artiodactyla	Giraffidae	Giraffa	camelopardalis	800000.00	14.89	59770.59	8.25	-999.00	48.71	434	1.12	0.54	"1,2,9,23,29"
Artiodactyla	Giraffidae	Okapia	johnstoni	287500.00	14.87	17375.00	7.00	77000.00	23.86	396	1.00	0.75	"1,2,11,23"
Artiodactyla	Hippopotamidae	Hexaprotodon	liberiensis	215000.00	6.84	5636.25	7.33	-999.00	48.00	526	1.00	0.42	"1,2,17"
Artiodactyla	Hippopotamidae	Hippopotamus	amphibius	1258333.33	7.75	39746.67	10.13	237500.00	89.93	732	1.00	0.61	"1,2,8,9,23,25,29"
Artiodactyla	Moschidae	Moschus	chrysogaster	11000.00	-999.00	800.00	-999.00	-999.00	21.00	-999	1.00	-999.00	"1,16"
Artiodactyla	Moschidae	Moschus	berezovskii	10900.00	-999.00	524.00	-999.00	-999.00	-999.00	-999	1.71	-999.00	"1,2,8"
Artiodactyla	Moschidae	Moschus	moschiferus	12500.00	5.33	458.75	3.50	-999.00	15.54	144	1.49	1.00	"1,9,13,17,23,29"
Artiodactyla	Suidae	Babyrousa	babyrussa	100000.00	5.16	715.00	7.00	-999.00	18.00	288	1.40	2.00	"1,2,17"
Artiodactyla	Suidae	Hylochoerus	meinertzhageni	202500.00	4.39	1250.00	2.25	-999.00	17.50	216	4.70	-999.00	"1,2,13,25,27"
Artiodactyla	Suidae	Phacochoerus	aethiopicus	71000.00	5.53	672.78	3.49	-999.00	18.55	225	3.53	1.11	"1,8,9,13,23,25,29"
Artiodactyla	Suidae	Potamochoerus	porcus	71000.00	3.78	762.00	3.00	-999.00	28.24	240	4.33	-999.00	"1,9,13,23,29"
Artiodactyla	Suidae	Sus	salvanius	8150.00	3.76	191.50	-999.00	-999.00	23.00	-999	3.20	-999.00	"1,2,13"
Artiodactyla	Suidae	Sus	barbatus	102750.00	4.00	-999.00	-999.00	-999.00	-999.00	-999	4.00	-999.00	"1,13,16"
Artiodactyla	Suidae	Sus	scrofa	100900.00	3.95	1040.31	3.38	8726.00	9.77	252	5.76	1.36	"1,8,9,13"
Artiodactyla	Tayassuidae	Catagonus	wagneri	35300.00	-999.00	647.00	-999.00	-999.00	39.17	-999	2.42	-999.00	"1,2,4,23"
Artiodactyla	Tayassuidae	Pecari	tajacu	19200.00	4.66	657.18	1.70	5220.67	10.64	296	1.82	2.00	"1,2,3,4,23"
Artiodactyla	Tayassuidae	Tayassu	pecari	33750.00	5.23	1225.00	1.63	-999.00	20.00	253	2.00	-999.00	"1,2,3,4,11,13,17,29"
Artiodactyla	Tragulidae	Hyemoschus	aquaticus	12250.00	5.86	-999.00	5.17	-999.00	13.38	156	1.25	1.00	"1,2,23,29"
Artiodactyla	Tragulidae	Moschiola	meminna	2450.00	4.94	319.00	-999.00	-999.00	-999.00	81	1.50	-999.00	"1,2,17"
Artiodactyla	Tragulidae	Tragulus	javanicus	3850.00	4.61	370.00	2.92	-999.00	5.20	144	1.00	-999.00	"1,9,13,23,29"
Artiodactyla	Tragulidae	Tragulus	napu	5900.00	5.20	373.67	3.00	-999.00	4.50	192	1.00	-999.00	"1,2,9,17,29"
Carnivora	Canidae	Alopex	lagopus	4500.00	1.75	71.04	1.67	-999.00	9.94	194	8.12	0.92	"1,2,8,17,23,29"
Carnivora	Canidae	Atelocynus	microtis	9500.00	-999.00	-999.00	-999.00	-999.00	-999.00	132	-999.00	-999.00	2
Carnivora	Canidae	Canis	simensis	12675.00	2.04	-999.00	2.50	-999.00	24.00	-999	4.00	-999.00	"2,11"
Carnivora	Canidae	Canis	aureus	11000.00	2.05	207.50	2.28	-999.00	10.46	192	4.16	-999.00	"1,2,23,29"
Carnivora	Canidae	Canis	rufus	26000.00	2.05	-999.00	-999.00	-999.00	-999.00	168	4.51	-999.00	"1,2,26"
Carnivora	Canidae	Canis	lupus	34875.00	2.16	418.60	1.55	5250.00	22.04	192	4.82	0.82	"1,2,8,23"
Carnivora	Canidae	Canis	mesomelas	9750.00	2.08	159.00	2.13	-999.00	10.80	168	3.95	1.00	"1,2,17"
Carnivora	Canidae	Canis	latrans	11800.00	2.05	249.75	1.74	1517.00	10.29	262	5.49	1.00	"1,2,3,10,11,23,26,29"
Carnivora	Canidae	Canis	adustus	8250.00	2.17	-999.00	1.50	-999.00	7.67	144	4.29	2.00	"1,2"
Carnivora	Canidae	Cerdocyon	thous	6500.00	1.85	365.00	3.00	-999.00	9.07	138	4.10	1.90	"1,2,3,4,11,23,29"
Carnivora	Canidae	Chrysocyon	brachyurus	23000.00	2.11	400.17	4.75	-999.00	24.00	188	3.09	-999.00	"1,2,4,11,13,29"
Carnivora	Canidae	Cuon	alpinus	12760.00	2.07	273.33	1.64	2350.00	11.50	186	4.13	-999.00	"1,2,10,11,29"
Carnivora	Canidae	Lycaon	pictus	27133.33	2.41	332.50	2.88	-999.00	25.25	204	6.99	0.93	"1,2,23,25,29"
Carnivora	Canidae	Nyctereutes	procyonoides	4232.00	2.05	87.92	1.73	825.00	12.22	128	9.46	1.00	"1,2,11,23,29"
Carnivora	Canidae	Otocyon	megalotis	4150.00	2.26	120.88	2.06	-999.00	12.00	165	3.74	2.00	"1,2,13,17,29"
Carnivora	Canidae	Pseudalopex	gymnocercus	4690.00	1.95	-999.00	-999.00	-999.00	10.00	164	2.50	-999.00	"1,2,4"
Carnivora	Canidae	Pseudalopex	griseus	3990.00	1.85	-999.00	-999.00	-999.00	-999.00	-999	4.17	-999.00	"2,4"
Carnivora	Canidae	Pseudalopex	culpaeus	13000.00	1.99	-999.00	2.00	-999.00	12.00	-999	4.00	1.00	"1,2,4,11"
Carnivora	Canidae	Speothos	venaticus	6000.00	2.35	152.43	3.33	-999.00	11.00	160	4.26	2.00	"1,2,3,17,29"
Carnivora	Canidae	Urocyon	cinereoargenteus	4220.00	2.14	95.33	1.80	519.67	10.50	-999	4.17	0.98	"1,3,6,8,10,11,23,26,27,29"
Carnivora	Canidae	Urocyon	littoralis	1890.67	1.70	-999.00	2.00	-999.00	12.00	-999	2.60	1.00	"11,26"
Carnivora	Canidae	Vulpes	cana	1000.00	1.84	29.00	1.50	-999.00	10.50	-999	2.00	-999.00	"2,11"
Carnivora	Canidae	Vulpes	chama	4000.00	1.72	-999.00	-999.00	-999.00	-999.00	-999	3.25	-999.00	"1,2"
Carnivora	Canidae	Vulpes	rueppelli	2250.00	1.75	-999.00	-999.00	-999.00	12.00	-999	3.26	-999.00	"1,2"
Carnivora	Canidae	Vulpes	ferrilata	7000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	3.50	-999.00	"1,2"
Carnivora	Canidae	Vulpes	pallida	2550.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	4.00	-999.00	2
Carnivora	Canidae	Vulpes	bengalensis	1800.00	1.69	58.50	-999.00	-999.00	-999.00	-999	4.00	-999.00	"1,2"
Carnivora	Canidae	Vulpes	corsac	2700.00	1.77	62.50	0.93	-999.00	16.81	-999	4.71	-999.00	"1,16,23"
Carnivora	Canidae	Vulpes	vulpes	5662.50	1.73	101.25	1.81	1236.43	9.76	144	4.34	0.91	"1,2,8,9,10,23,26,29"
