MSW05_Order	MSW05_Family	MSW05_Genus	MSW05_Species	MSW05_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Artiodactyla	Camelidae	Camelus	dromedarius	Camelus dromedarius	3.00	492714.47	-999.00	-999.00	-999.00	1651.62	40293.00	407000.00	3.00	-999.00	386.51	1.00	196.32	-999.00	614.41	0.98	1.00	480.00	36751.19	-999.00	0.98	11.00	1947.94	10.00	-999	1.00	1	389.38	-999.00	-999.00	511;543;719;1274;1297;1594;1654;1822;1848;2655;3044	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Carnivora	Canidae	Canis	adustus	Canis adustus	1.00	10392.49	-999.00	745.32	-999.00	-999.00	-999.00	-999.00	6.00	329.99	65.00	1.00	1.01	1.01	-999.00	4.50	-999.00	137.00	-999.00	-999.00	0.74	-999.00	249.88	-999.00	8	1.00	2	52.89	-999.00	-999.00	542;543;730;1113;1297;1573;2655	-999.00	-999.00	-999.00	-999.00	10581413.14	16.72	-28.73	-6.00	43.55	-17.53	13.00	0	35.20	1.00	0.14	90.75	236.51	922.90	1534.40
Carnivora	Canidae	Canis	aureus	Canis aureus	2.00	9658.70	-999.00	827.53	7.50	-999.00	-999.00	-999.00	6.00	-999.00	61.24	1.00	2.95	3.13	365.00	3.74	-999.00	192.00	211.82	-999.00	0.22	-999.00	371.23	-999.00	8	1.00	2	61.30	-999.00	-999.00	543;679;730;1113;1297;1573;2655	-999.00	1.10	-999.00	-999.00	25739527.43	47.00	-4.71	21.14	108.54	-17.05	45.74	0	79.29	0.00	0.10	44.61	217.23	438.02	1358.98
Carnivora	Canidae	Canis	latrans	Canis latrans	2.00	11989.10	-999.00	872.39	11.94	365.00	3699.00	10450.00	1.00	255.00	61.74	1.00	18.88	19.91	365.00	5.72	-999.00	262.00	200.01	-999.00	0.25	-999.00	372.90	-999.00	8	1.00	3	43.71	-999.00	-999.00	367;542;543;730;1113;1297;1573;1822;2655	-999.00	1.10	-999.00	-999.00	17099094.30	71.39	8.02	39.70	-67.07	-168.12	-117.60	0	27.27	0.00	0.06	53.03	58.18	503.02	728.37
Carnivora	Canidae	Canis	lupus	Canis lupus	2.00	31756.51	-999.00	1055.00	14.01	547.50	11254.20	33100.00	1.00	180.00	63.50	1.00	159.86	43.13	365.00	4.98	2.00	354.00	412.31	-999.00	0.01	-999.00	679.37	-999.00	9	1.00	3	44.82	-999.00	-999.00	367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655	-999.00	-999.00	-999.00	-999.00	50803439.70	83.27	11.48	47.38	179.65	-171.84	3.90	0	37.87	0.00	0.04	34.79	4.82	313.33	561.11
Artiodactyla	Bovidae	Bos	frontalis	Bos frontalis	2.00	800143.05	-999.00	2700.00	-999.00	-999.00	-999.00	-999.00	3.00	-999.00	273.75	-999.00	-999.00	-999.00	403.02	1.22	1.00	314.40	22977.05	-999.00	0.54	-999.00	610.97	40.00	-999	-999.00	1	186.67	-999.00	-999.00	511;543;730;899;1297;1525;1848;2655;2986	-999.00	-999.00	-999.00	-999.00	2294331.63	28.01	2.86	15.43	108.68	73.55	91.12	1	152.67	8.00	0.09	145.21	229.71	1053.45	1483.02
Artiodactyla	Bovidae	Bos	grunniens	Bos grunniens	-999.00	500000.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	2.00	-999.00	273.75	-999.00	-999.00	-999.00	-999.00	1.00	1.00	267.00	-999.00	-999.00	-999.00	-999.00	755.15	110.00	-999	-999.00	1	243.33	-999.00	-999.00	511;899;1297;1525;1848;2655	-999.00	-999.00	-999.00	-999.00	1523540.07	38.88	29.66	34.27	99.23	75.91	87.57	0	2.03	0.00	0.05	30.41	-59.31	246.20	732.74
Artiodactyla	Bovidae	Bos	javanicus	Bos javanicus	2.00	635974.34	-999.00	2075.00	-999.00	912.50	-999.00	-999.00	2.00	-999.00	296.78	1.00	-999.00	-999.00	-999.00	1.22	1.00	318.96	-999.00	-999.00	0.75	21.00	797.31	40.00	-999	1.00	1	287.74	-999.00	-999.00	511;730;899;1297;1525;1848;2152;2655	-999.00	-999.00	-999.00	-999.00	1687920.66	25.08	-8.78	8.15	118.35	94.94	106.64	1	139.21	4.00	0.11	187.69	239.18	1301.28	1592.26
Primates	Pitheciidae	Callicebus	cupreus	Callicebus cupreus	3.00	1117.02	-999.00	354.99	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	129.25	1.00	-999.00	-999.00	395.41	1.01	-999.00	-999.00	73.60	-999.00	4.89	-999.00	-999.00	2.05	-999	2.00	-999	201.85	-999.00	-999.00	1544;1547;1605;1633;1848;2151;2251;2344;2655;2986	-999.00	1.05	-999.00	-999.00	690923.14	-2.50	-10.67	-6.58	-61.59	-74.92	-68.25	0	1.07	0.00	0.05	196.01	255.36	1529.55	1573.18
Primates	Pitheciidae	Callicebus	discolor	Callicebus discolor	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Primates	Pitheciidae	Callicebus	donacophilus	Callicebus donacophilus	3.00	897.67	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	1.02	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999	2.00	-999	-999.00	-999.00	-999.00	1547;1605;1633;2151;2655	-999.00	-999.00	-999.00	-999.00	288759.02	-10.45	-21.29	-15.87	-57.52	-67.21	-62.37	0	3.63	0.00	0.17	108.93	244.32	1238.19	1469.11
Primates	Pitheciidae	Callicebus	dubius	Callicebus dubius	3.00	992.40	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	1.02	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999	2.00	-999	-999.00	-999.00	-999.00	1605;1633;2151;2655	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
Primates	Pitheciidae	Callicebus	hoffmannsi	Callicebus hoffmannsi	3.00	1067.61	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999.00	-999.00	-999.00	1.02	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.00	-999	2.00	-999	-999.00	-999.00	-999.00	1547;1605;1633;2151;2655	-999.00	-999.00	-999.00	-999.00	98076.46	-1.95	-6.00	-3.97	-54.87	-59.21	-57.04	0	2.60	0.00	0.10	158.41	258.18	1417.63	1610.40
Primates	Pitheciidae	Callicebus	lucifer	Callicebus lucifer	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
